"Story","Title","Result","Date","Stability","Duration (s)"
"Comprar celular en DemoBlaze","Observar mensaje de compra, al comprar el celular mas costoso","SUCCESS","2022-05-09T05:33:23.917Z[Etc/UTC]","0.0","11.77"
"Comprar celular en DemoBlaze","Observar mensaje de compra, al comprar el celular mas economico","SUCCESS","2022-05-09T05:33:35.693Z[Etc/UTC]","0.0","10.2"
